Model;Brand;year;quarter;month;month_id;Audio_jack;battery_removable;battery_amps;battery_type;Bluetooth;Display_type;aspect_ratio;screen_body_ratio;GPS;Radio;ram_MB;im_MB;primary_camera_MP;primary_camera_autofocus;primary_camera_LED_flash;primary_camera_VGA;sensor_accelerometer;sensor_fingerprint;sensor_fingerprint_mounted;sensor_heart_rate;sensor_iris_scanner;sensor_proximity;sensor_temperature
_Deco;BLU;2011;3;July;7;Y;Y;800;Li-Ion;Y;TFT  256K colors;1.3333333333;27;N;Y;64.0;256.0;2.0;N;N;N;N;N;null;N;N;N;N
_Samba Elite;BLU;2011;3;July;7;N;Y;750;Li-Ion;Y;TFT  256K colors;1.25;22;N;Y;64.0;256.0;2.0;N;N;N;N;N;null;N;N;N;N
_Deco XT;BLU;2011;3;July;7;Y;Y;800;Li-Ion;Y;TFT  256K colors;1.3333333333;27;N;Y;256.0;1000.0;2.0;N;N;N;N;N;null;N;N;N;N
_Studio 5.3;BLU;2011;4;December;12;Y;Y;2500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;65;Y;Y;512.0;512.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Hero;BLU;2011;4;November;11;Y;Y;950;Li-Ion;Y;TFT resistive touchscreen  256K colors;1.3333333333;41;N;Y;32.0;64.0;1.3;N;N;N;N;N;null;N;N;N;N
_Jenny TV;BLU;2012;2;June;6;Y;Y;820;Li-Ion;Y;TFT  256K colors;1.3333333333;30;N;Y;32.0;32.0;null;N;N;Y;N;N;null;N;N;N;N
_Jenny;BLU;2012;2;June;6;N;Y;900;Li-Ion;Y;TFT  65K colors;1.25;20;N;Y;32.0;16.0;null;N;N;Y;N;N;null;N;N;N;N
_Tank;BLU;2012;2;June;6;N;Y;1800;Li-Ion;Y;TFT  65K colors;1.25;18;N;Y;32.0;16.0;null;N;N;Y;N;N;null;N;N;N;N
_Elite 3.8;BLU;2012;3;July;7;Y;Y;1600;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.6666666667;57;Y;Y;512.0;1000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo 4.3;BLU;2012;3;July;7;Y;Y;1600;Li-Ion;Y;Super AMOLED capacitive touchscreen  16M colors;1.6666666667;62;Y;Y;512.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Touch Book 7.0 Lite;BLU;2012;3;September;9;Y;N;3000;Li-Ion;N;TFT capacitive touchscreen  16M colors;1.6666666667;59;Y;Y;512.0;4000.0;null;N;N;Y;Y;N;null;N;N;N;N
_Touch Book 7.0 Plus;BLU;2012;3;September;9;Y;N;3500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;59;Y;Y;512.0;512.0;3.15;N;N;N;Y;N;null;N;N;Y;N
_Dash 3.5;BLU;2012;3;September;9;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.5;51;Y;Y;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
_Dash 3.2;BLU;2012;4;December;12;Y;Y;1280;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.3333333333;54;Y;Y;256.0;512.0;1.3;N;N;N;Y;N;null;N;N;Y;N
_Hero II;BLU;2012;4;December;12;Y;Y;1100;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.5;53;N;Y;64.0;128.0;1.3;N;N;N;N;N;null;N;N;N;N
_Dash;BLU;2012;4;December;12;Y;Y;1110;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.3333333333;42;Y;Y;256.0;512.0;2.0;N;N;N;Y;N;null;N;N;Y;N
_Brooklyn;BLU;2012;4;November;11;Y;Y;750;Li-Ion;Y;TFT  256K colors;1.3333333333;24;N;Y;64.0;128.0;1.3;N;N;N;N;N;null;N;N;N;N
_Touch Book 9.7;BLU;2012;4;November;11;Y;N;6000;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.3333333333;66;Y;N;1000.0;4000.0;2.0;Y;N;N;Y;N;null;N;N;Y;N
_Quattro 4.5 HD;BLU;2013;1;February;2;Y;Y;1800;Li-Ion;Y;Super IPS LCD2 capacitive touchscreen  16M colors;1.7777777778;62;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Quattro 5.7 HD;BLU;2013;1;February;2;Y;Y;2800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Quattro 4.5;BLU;2013;1;February;2;Y;Y;1800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;62;Y;Y;1000.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.3 II;BLU;2013;1;February;2;Y;Y;2200;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;512.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Tank 4.5;BLU;2013;1;February;2;Y;Y;1760;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;60;Y;Y;512.0;4000.0;5.0;Y;Y;N;N;N;null;N;N;N;N
_Life One;BLU;2013;1;March;3;Y;N;2000;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life Play;BLU;2013;1;March;3;Y;Y;1800;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life View;BLU;2013;1;March;3;Y;Y;2600;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;16000.0;2.0;Y;Y;N;Y;N;null;N;N;Y;N
_Tattoo S;BLU;2013;1;March;3;Y;Y;620;Li-Ion;Y;TFT  256K colors;1.25;21;N;Y;64.0;64.0;1.3;N;N;N;N;N;null;N;N;N;N
_Studio 5.0;BLU;2013;2;April;4;Y;Y;2000;Li-Ion;Y;LCD capacitive touchscreen  16M colors;1.6666666667;66;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.0 S;BLU;2013;2;April;4;Y;Y;2000;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.3 S;BLU;2013;2;April;4;Y;Y;2800;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;64;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Diva;BLU;2013;2;April;4;Y;Y;820;Li-Ion;Y;TFT  256K colors;1.3333333333;29;N;Y;32.0;32.0;null;N;N;Y;N;N;null;N;N;N;N
_Dash Music;BLU;2013;2;April;4;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.5;46;Y;Y;256.0;512.0;2.0;N;Y;N;Y;N;null;N;N;Y;N
_Diva X;BLU;2013;2;April;4;Y;Y;1400;Li-Ion;Y;TFT  256K colors;1.3333333333;34;N;Y;64.0;64.0;1.3;N;Y;N;N;N;null;N;N;N;N
_Samba TV;BLU;2013;2;May;5;Y;Y;820;Li-Ion;Y;TFT  65K colors;1.25;19;N;Y;32.0;32.0;null;N;N;Y;N;N;null;N;N;N;N
_Amour;BLU;2013;2;May;5;Y;Y;1600;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;54;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;N;N
_Zoey;BLU;2013;3;August;8;Y;Y;820;Li-Ion;Y;TFT  65K colors;1.25;20;N;Y;24.0;32.0;null;N;N;Y;N;N;null;N;N;N;N
_Dash Music 4.0;BLU;2013;3;August;8;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;57;Y;Y;512.0;4000.0;3.15;N;N;N;Y;N;null;N;N;Y;N
_Dash 5.0;BLU;2013;3;August;8;Y;Y;2000;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7791666667;66;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;Y;N
_Jenny TV 2.8;BLU;2013;3;August;8;Y;Y;820;Li-Ion;Y;TFT  65K colors;1.3333333333;34;N;Y;24.0;32.0;1.3;N;N;N;N;N;null;N;N;N;N
_Samba W;BLU;2013;3;August;8;Y;Y;820;Li-Ion;Y;TFT  65K colors;1.25;19;N;Y;64.0;128.0;1.3;N;N;N;N;N;null;N;N;N;N
_Dash JR;BLU;2013;3;August;8;Y;Y;1000;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.5;50;Y;Y;256.0;512.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Dash 4.5;BLU;2013;3;July;7;Y;Y;2000;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7791666667;64;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;Y;N
_Studio 5.5;BLU;2013;3;September;9;Y;Y;2250;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7791666667;66;Y;Y;1000.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life Play X;BLU;2013;4;December;12;Y;Y;1800;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo 4.65 HD;BLU;2013;4;December;12;Y;Y;1600;Li-Ion;Y;Super AMOLED capacitive touchscreen  16M colors;1.7777777778;63;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life Pure;BLU;2013;4;December;12;Y;N;2020;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;2000.0;32000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.0 II;BLU;2013;4;December;12;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;64;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash 4.0;BLU;2013;4;December;12;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;58;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;N;N
_Advance 4.0;BLU;2013;4;December;12;Y;Y;1600;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;56;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;N;N
_Life Pro;BLU;2013;4;November;11;Y;Y;2500;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;16000.0;2.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life Pure Mini;BLU;2014;1;February;2;Y;N;3000;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life View Tab;BLU;2014;1;January;1;Y;N;4500;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.3333333333;70;Y;N;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;N;N
_Studio 5.0 E;BLU;2014;1;January;1;Y;Y;2100;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7791666667;63;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;N;N
_Life One X;BLU;2014;1;January;1;Y;N;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;2000.0;32000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life One M;BLU;2014;1;January;1;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;64;Y;Y;1000.0;4000.0;2.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo 4.8 HD;BLU;2014;1;January;1;Y;N;2000;Li-Ion;Y;Super AMOLED capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.5 S;BLU;2014;1;January;1;Y;Y;2350;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.0 S II;BLU;2014;1;January;1;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life Play S;BLU;2014;1;January;1;Y;N;1800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Neo 4.5;BLU;2014;2;April;4;Y;Y;1800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;65;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;Y;N
_Life Pure XL;BLU;2014;2;April;4;Y;N;2500;Li-Po;Y;LTPS IPS LCD capacitive touchscreen  16M colors;1.7777777778;73;Y;Y;3000.0;32000.0;6.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 6.0 HD;BLU;2014;2;April;4;Y;N;3000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;71;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Neo 3.5;BLU;2014;2;April;4;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.5;50;Y;Y;256.0;512.0;1.3;N;N;N;Y;N;null;N;N;Y;N
_Studio 5.0 LTE;BLU;2014;2;April;4;Y;Y;2200;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo IV;BLU;2014;2;May;5;Y;N;2300;Li-Po;Y;Super AMOLED capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life 8;BLU;2014;2;May;5;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;8.0;N;Y;N;Y;N;null;N;N;Y;N
_Studio 5.0 CE;BLU;2014;3;August;8;Y;Y;1800;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.7791666667;65;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;N;N
_Studio 5.0 C HD;BLU;2014;3;August;8;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;63;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio C Mini;BLU;2014;3;August;8;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.6666666667;63;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.0 C;BLU;2014;3;August;8;Y;Y;1800;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7791666667;65;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;Y;N
_Win HD;BLU;2014;3;September;9;Y;Y;2200;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Win JR;BLU;2014;3;September;9;Y;Y;1950;Li-Ion;Y;TFT LCD capacitive touchscreen  16M colors;1.6666666667;56;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.0 HD LTE;BLU;2014;4;December;12;Y;Y;2200;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;8000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 6.0 LTE;BLU;2014;4;December;12;Y;Y;3200;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;74;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 7.0;BLU;2014;4;November;11;Y;N;3000;Li-Po;Y;Capacitive touchscreen  16M colors;1.7066666667;71;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash C Music;BLU;2014;4;November;11;Y;Y;1450;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;57;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;N;N
_Studio Mini LTE;BLU;2014;4;November;11;Y;Y;1850;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;60;Y;Y;1000.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash Music JR;BLU;2014;4;November;11;Y;Y;1450;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;57;Y;Y;256.0;512.0;2.0;N;Y;N;Y;N;null;N;N;N;N
_Life View 8.0;BLU;2014;4;October;10;Y;N;3800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.3333333333;73;Y;Y;1000.0;8000.0;3.15;N;Y;N;Y;N;null;N;N;Y;N
_Life Play Mini;BLU;2014;4;October;10;Y;Y;1400;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.6666666667;55;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;Y;N
_Sport 4.5;BLU;2014;4;October;10;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;61;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo Air;BLU;2015;1;January;1;Y;N;2100;Li-Ion;Y;AMOLED capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life One (2015);BLU;2015;1;January;1;Y;Y;2420;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life One XL;BLU;2015;1;January;1;Y;Y;2820;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio Energy;BLU;2015;1;January;1;Y;Y;5000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio X;BLU;2015;1;January;1;Y;Y;2100;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio X Plus;BLU;2015;1;January;1;Y;Y;2600;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;70;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio G;BLU;2015;1;January;1;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;65;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Win JR LTE;BLU;2015;2;April;4;Y;N;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;62;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Win HD LTE;BLU;2015;2;April;4;Y;N;2500;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Selfie;BLU;2015;2;April;4;Y;N;2300;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;62;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Advance 4.0 L;BLU;2015;2;May;5;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;53;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;N;N
_Life 8 XL;BLU;2015;2;May;5;Y;Y;2920;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;71;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio C;BLU;2015;2;May;5;Y;Y;3000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 5.5C;BLU;2015;2;May;5;Y;Y;2820;Li-Ion;Y;LCD capacitive touchscreen  16M colors;1.7791666667;68;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;Y;N
_Studio C Super Camera;BLU;2015;3;August;8;Y;N;2800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio XL;BLU;2015;3;August;8;Y;N;3000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;70;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 7.0 II;BLU;2015;3;August;8;Y;N;3450;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7066666667;66;Y;Y;1000.0;8000.0;5.0;N;Y;N;Y;N;null;N;N;N;N
_Touchbook G7;BLU;2015;3;August;8;Y;N;3000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7066666667;65;Y;Y;512.0;4000.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Energy X Plus;BLU;2015;3;July;7;Y;N;4000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;72;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo Selfie;BLU;2015;3;July;7;Y;N;2300;Li-Po;Y;AMOLED capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life X8;BLU;2015;3;July;7;Y;Y;2500;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio C 5 + 5;BLU;2015;3;July;7;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;67;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio C 5 + 5 LTE;BLU;2015;3;July;7;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;67;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Energy X;BLU;2015;3;September;9;Y;N;4000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Pure XL;BLU;2015;3;September;9;Y;N;3500;Li-Po;Y;AMOLED capacitive touchscreen  16M colors;1.7777777778;73;Y;Y;3000.0;64000.0;4.0;Y;N;N;Y;Y;rear;N;N;Y;N
_Vivo Air LTE;BLU;2015;3;September;9;Y;N;2050;Li-Po;Y;AMOLED capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;2000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Life One X (2016);BLU;2015;4;December;12;Y;N;2900;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio G Plus;BLU;2015;4;November;11;Y;Y;2800;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;68;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash X LTE;BLU;2015;4;November;11;Y;Y;2500;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;8.0;N;Y;N;Y;N;null;N;N;Y;N
_Studio G LTE;BLU;2015;4;October;10;Y;N;2500;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;66;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio Energy 2;BLU;2015;4;October;10;Y;N;5000;Li-Ion;Y;Super AMOLED capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;5000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash X Plus;BLU;2015;4;October;10;Y;Y;2750;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash X;BLU;2015;4;October;10;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio 7.0 LTE;BLU;2015;4;October;10;Y;N;3700;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;71;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Dash L;BLU;2015;4;October;10;Y;Y;1450;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;56;Y;Y;512.0;4000.0;3.15;N;Y;N;Y;N;null;N;N;N;N
_Dash M;BLU;2015;4;October;10;Y;Y;1800;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;64;Y;Y;768.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;Y;N
_Energy X 2;BLU;2016;1;February;2;Y;N;4000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio One Plus;BLU;2016;1;February;2;Y;N;3200;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;81;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio One;BLU;2016;1;February;2;Y;N;2450;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Neo X Plus;BLU;2016;1;February;2;Y;Y;2500;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;70;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio G HD;BLU;2016;1;February;2;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;67;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Studio M HD;BLU;2016;1;February;2;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Vivo 5;BLU;2016;1;January;1;Y;N;3150;Li-Ion;Y;AMOLED capacitive touchscreen  16M colors;1.7777777778;73;Y;Y;3000.0;32000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
