Brand;Year;# Models;Sales
Microsoft      ;2004;0;
Microsoft      ;2005;0;
Microsoft      ;2006;0;
Microsoft      ;2007;0;
Microsoft      ;2008;0;
Microsoft      ;2009;0;
Microsoft      ;2010;4;
Microsoft      ;2011;0;
Microsoft      ;2012;1;
Microsoft      ;2013;1;
Microsoft      ;2014;2;18566
Microsoft      ;2015;18;
Microsoft      ;2016;1;
Microsoft      ;2017;0;
Microsoft      ;2018;0;
Microsoft      ;2019;0;
Mitac          ;2003;2;
Mitac          ;2004;2;
Mitac          ;2005;1;
Mitac          ;2007;3;
Mitac          ;2009;4;
Mitsubishi     ;1999;4;
Mitsubishi     ;2000;7;
Mitsubishi     ;2001;2;
Mitsubishi     ;2002;1;
Mitsubishi     ;2003;4;
Mitsubishi     ;2004;7;
Modu           ;2009;7;
Modu           ;2010;1;
Motorola       ;1992;0;4
Motorola       ;1993;0;
Motorola       ;1994;0;12
Motorola       ;1995;0;
Motorola       ;1996;0;60
Motorola       ;1997;5;25328
Motorola       ;1998;5;32319
Motorola       ;1999;7;47818
Motorola       ;2000;9;60094
Motorola       ;2001;8;59097
Motorola       ;2002;9;64640
Motorola       ;2003;32;75177
Motorola       ;2004;38;104124
Motorola       ;2005;37;144920
Motorola       ;2006;14;209251
Motorola       ;2007;19;164307
Motorola       ;2008;30;10659
Motorola       ;2009;25;584752
Motorola       ;2010;53;385537
Motorola       ;2011;57;40269
Motorola       ;2012;35;339163
Motorola       ;2013;7;
Motorola       ;2014;12;
Motorola       ;2015;16;
Motorola       ;2016;9;
Motorola       ;2017;9;
Motorola       ;2018;0;
Motorola       ;2019;0;
Motorola       ;2614;2;
Motorola       ;2644;3;
MWg            ;2007;2;
MWg            ;2008;3;
NEC            ;1992;0;2
NEC            ;1993;0;
NEC            ;1994;0;6
NEC            ;1995;0;
NEC            ;1996;0;
NEC            ;1997;1;
NEC            ;1998;0;
NEC            ;1999;2;
NEC            ;2000;2;
NEC            ;2001;2;
NEC            ;2002;2;
NEC            ;2003;14;
NEC            ;2004;28;
NEC            ;2005;14;
NEC            ;2006;7;
NEC            ;2007;0;
NEC            ;2008;0;
NEC            ;2009;0;
NEC            ;2010;0;
NEC            ;2011;0;
NEC            ;2012;0;
NEC            ;2013;1;
NEC            ;2014;0;
NEC            ;2015;0;
NEC            ;2016;0;
NEC            ;2017;0;
NEC            ;2018;0;
NEC            ;2019;0;
Neonode        ;2003;1;
Neonode        ;2005;1;
Neonode        ;2007;1;
NIU            ;2012;12;
NIU            ;2013;9;
NIU            ;2014;5;
NIU            ;2015;4;
Nokia          ;1992;0;3
Nokia          ;1993;0;5
Nokia          ;1994;0;9
Nokia          ;1995;1;13
Nokia          ;1996;0;18
Nokia          ;1997;1;20593
Nokia          ;1998;7;37374
Nokia          ;1999;4;76335
Nokia          ;2000;6;126369
Nokia          ;2001;5;139672
Nokia          ;2002;16;151422
Nokia          ;2003;25;180672
Nokia          ;2004;20;207231
Nokia          ;2005;34;265615
